City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Palomares,MX,17.15,-95.0667,81.5,63,15,13.96,few clouds
1,Saint-Augustin,CA,51.226,-58.6502,22.33,97,99,4.43,overcast clouds
2,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,69,0,20.71,clear sky
3,Bambous Virieux,MU,-20.3428,57.7575,76.21,88,75,4.61,broken clouds
4,Cabo San Lucas,MX,22.8909,-109.9124,76.6,60,0,12.66,clear sky
5,Khorinsk,RU,52.1657,109.7726,-24.23,99,58,1.61,broken clouds
6,Berlevag,NO,70.8578,29.0864,28.4,69,100,13.8,overcast clouds
7,Saint-Philippe,RE,-21.3585,55.7679,76.59,78,69,6.42,broken clouds
8,Mar Del Plata,AR,-38.0023,-57.5575,71.83,63,0,10.36,clear sky
9,Aksaray,TR,38.3726,34.0254,32.7,40,0,0.47,clear sky
10,Portel,BR,-1.9356,-50.8211,75.27,94,95,3.38,overcast clouds
11,New Norfolk,AU,-42.7826,147.0587,58.91,53,57,1.01,broken clouds
12,Herat,AF,34.5,62.0,34.32,48,0,3.58,clear sky
13,Albany,US,42.6001,-73.9662,42.35,80,79,3.15,broken clouds
14,Jamestown,US,42.097,-79.2353,45.95,65,0,5.01,clear sky
15,Bluff,NZ,-46.6,168.3333,63.41,63,100,1.54,overcast clouds
16,Castro,BR,-24.7911,-50.0119,65.97,94,100,2.24,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,78.57,73,11,11.63,few clouds
18,Avarua,CK,-21.2078,-159.775,80.65,94,100,9.22,light rain
19,Iqaluit,CA,63.7506,-68.5145,-5.31,83,100,4.61,light snow
20,Saskylakh,RU,71.9167,114.0833,-11.94,98,100,5.66,overcast clouds
21,Oranjestad,AW,12.524,-70.027,78.91,84,3,19.17,clear sky
22,Mataura,NZ,-46.1927,168.8643,74.28,45,100,1.61,overcast clouds
23,Sobolevo,RU,54.4299,31.8996,40.28,97,100,12.77,light rain
24,Punta Arenas,CL,-53.15,-70.9167,51.91,54,0,37.98,clear sky
25,Butaritari,KI,3.0707,172.7902,80.71,76,98,11.65,overcast clouds
26,Almeirim,BR,-1.5233,-52.5817,77.47,81,100,4.36,overcast clouds
27,Lufilufi,WS,-13.8745,-171.5986,83.98,79,99,10.78,moderate rain
28,Ushuaia,AR,-54.8,-68.3,44.26,76,75,35.68,light rain
29,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,85,100,25.32,light snow
30,Sham Churasi,IN,31.4997,75.7494,43.14,58,0,2.08,clear sky
31,Codrington,AU,-38.2667,141.9667,58.55,79,100,16.02,overcast clouds
32,Kattivakkam,IN,13.2167,80.3167,77.09,75,51,8.14,broken clouds
33,Ucluelet,CA,48.9329,-125.5528,49.08,69,100,1.01,overcast clouds
34,Datong,CN,40.0936,113.2914,15.93,57,3,2.57,clear sky
35,Bethel,US,41.3712,-73.414,48.49,76,0,0.0,clear sky
36,Portland,US,45.5234,-122.6762,44.22,70,75,20.71,broken clouds
37,Deputatskiy,RU,69.3,139.9,-39.37,99,77,4.81,broken clouds
38,Kapaa,US,22.0752,-159.319,80.92,78,20,9.22,few clouds
39,Yellowknife,CA,62.456,-114.3525,1.92,85,75,16.11,light snow
40,Itarema,BR,-2.9248,-39.9167,79.16,80,49,13.87,scattered clouds
41,Hobart,AU,-42.8794,147.3294,59.27,74,75,10.36,broken clouds
42,Nikolskoye,RU,59.7035,30.7861,26.49,95,100,4.25,overcast clouds
43,Severo-Yeniseyskiy,RU,60.3725,93.0408,4.32,94,100,7.74,overcast clouds
44,Porto Novo,BJ,6.4965,2.6036,80.42,64,94,4.12,overcast clouds
45,Victoria,HK,22.2855,114.1577,63.25,73,85,15.01,overcast clouds
46,Brufut,GM,13.3814,-16.7518,74.7,70,82,2.93,broken clouds
47,Tiksi,RU,71.6872,128.8694,-14.78,98,100,6.71,overcast clouds
48,Pemangkat,ID,1.1667,108.9667,77.16,87,78,5.75,broken clouds
49,Xuchang,CN,34.0167,113.8167,31.51,55,0,3.91,clear sky
50,Port Alfred,ZA,-33.5906,26.891,70.52,87,94,14.47,overcast clouds
51,Busselton,AU,-33.65,115.3333,63.03,71,0,15.19,clear sky
52,Vardo,NO,70.3705,31.1107,30.18,59,40,16.11,scattered clouds
53,San Cristobal,VE,7.7669,-72.225,71.78,89,70,2.08,broken clouds
54,Olafsvik,IS,64.8945,-23.7142,32.54,97,100,15.3,snow
55,Bredasdorp,ZA,-34.5322,20.0403,67.93,92,53,5.82,broken clouds
56,Ribeira Grande,PT,38.5167,-28.7,60.78,85,97,10.0,overcast clouds
57,Georgetown,MY,5.4112,100.3354,78.73,89,20,5.75,few clouds
58,Khatanga,RU,71.9667,102.5,-7.76,97,100,11.92,overcast clouds
59,Cape Town,ZA,-33.9258,18.4232,76.37,74,0,5.75,clear sky
60,Coracora,PE,-15.0333,-73.7833,50.99,84,99,6.78,moderate rain
61,Tamandare,BR,-8.7597,-35.1047,78.51,72,97,7.36,overcast clouds
62,Esperance,AU,-33.8667,121.9,63.55,78,77,11.18,broken clouds
63,East London,ZA,-33.0153,27.9116,70.83,86,100,14.25,overcast clouds
64,Norwich,GB,52.6278,1.2983,37.33,92,14,4.61,few clouds
65,Nemuro,JP,43.3236,145.575,18.41,56,30,20.38,scattered clouds
66,Gizo,SB,-8.103,156.8419,83.08,77,100,11.54,moderate rain
67,Benguela,AO,-12.5763,13.4055,77.88,80,99,0.85,overcast clouds
68,Ganzhou,CN,28.8184,115.4327,43.25,78,95,4.59,overcast clouds
69,Neuquen,AR,-38.9516,-68.0591,75.09,25,0,20.71,clear sky
70,Dunedin,NZ,-45.8742,170.5036,59.81,95,100,8.46,overcast clouds
71,Aklavik,CA,68.2191,-135.0107,3.2,78,100,11.5,light snow
72,Zalantun,CN,48.0,122.7167,-4.32,83,1,8.1,clear sky
73,Bathsheba,BB,13.2167,-59.5167,79.41,73,20,16.11,few clouds
74,Fort Nelson,CA,58.8053,-122.7002,15.94,88,75,0.0,broken clouds
75,Hithadhoo,MV,-0.6,73.0833,80.44,68,83,10.27,broken clouds
76,Puerto Ayora,EC,-0.7393,-90.3518,84.16,90,49,3.0,scattered clouds
77,Arman,RU,59.7,150.1667,-1.75,84,100,15.46,light snow
78,Salalah,OM,17.0151,54.0924,71.69,60,0,5.75,clear sky
79,Rio Rancho,US,35.2334,-106.6645,46.02,55,75,18.41,broken clouds
80,Faya,SA,18.3851,42.4509,54.12,68,14,0.65,few clouds
81,Rocha,UY,-34.4833,-54.3333,65.48,78,40,10.67,scattered clouds
82,Huron,US,41.1501,-82.5499,51.24,95,100,4.65,overcast clouds
83,Punta Alta,AR,-38.8759,-62.0736,73.54,50,58,15.1,broken clouds
84,Moose Factory,CA,51.2585,-80.6094,14.0,92,100,6.91,overcast clouds
85,Hilo,US,19.7297,-155.09,79.25,82,100,11.5,light rain
86,Namibe,AO,-15.1961,12.1522,74.62,88,100,3.89,overcast clouds
87,Botucatu,BR,-22.8858,-48.445,66.67,92,100,0.92,moderate rain
88,Marathon,US,44.9,-89.7668,31.53,84,100,3.44,haze
89,Joshimath,IN,30.5667,79.5667,35.28,41,19,7.2,few clouds
90,Belmonte,BR,-15.8631,-38.8828,73.74,86,100,6.31,moderate rain
91,Kaitangata,NZ,-46.2817,169.8464,67.75,61,100,3.62,overcast clouds
92,Dikson,RU,73.5069,80.5464,-5.76,98,100,7.09,overcast clouds
93,Simao Dias,BR,-10.7383,-37.8111,72.27,92,91,7.11,light rain
94,Qaanaaq,GL,77.484,-69.3632,-7.13,58,19,2.98,few clouds
95,Chuy,UY,-33.6971,-53.4616,68.52,73,13,14.5,few clouds
96,Provideniya,RU,64.3833,-173.3,-3.3,84,14,7.43,few clouds
97,Lima,PE,-12.0432,-77.0282,76.89,65,20,19.57,light rain
98,Kodiak,US,57.79,-152.4072,36.91,93,75,8.05,broken clouds
99,Pimentel,PE,-6.8367,-79.9342,75.49,69,0,23.02,clear sky
100,Mukhen,RU,48.1,136.1,-8.77,92,81,6.69,broken clouds
101,Maneadero,MX,31.7167,-116.5667,58.1,69,98,5.99,overcast clouds
102,Ullapool,GB,57.8987,-5.1604,34.95,96,95,7.23,overcast clouds
103,Port Lincoln,AU,-34.7333,135.8667,63.16,64,100,15.14,overcast clouds
104,Kruisfontein,ZA,-34.0033,24.7314,69.89,75,100,1.81,overcast clouds
105,Atuona,PF,-9.8,-139.0333,78.89,73,19,20.62,few clouds
106,Constitucion,CL,-35.3333,-72.4167,61.09,65,10,20.31,clear sky
107,Barrow,US,71.2906,-156.7887,3.22,85,100,19.57,mist
108,Fortuna,US,40.5982,-124.1573,50.67,80,100,13.0,overcast clouds
109,Atambua,ID,-9.1061,124.8925,75.85,89,100,13.85,overcast clouds
110,Ugoofaaru,MV,5.6667,73.0,80.24,67,45,16.2,scattered clouds
111,Lavrentiya,RU,65.5833,-171.0,-11.18,86,52,8.95,broken clouds
112,Thompson,CA,55.7435,-97.8558,14.16,92,100,9.22,light snow
113,Nastola,FI,60.95,25.9333,25.84,88,100,7.9,overcast clouds
114,Havelock,US,34.8791,-76.9013,62.58,87,27,2.62,scattered clouds
115,Vila Do Maio,CV,15.1333,-23.2167,75.99,78,88,14.05,overcast clouds
116,Vao,NC,-22.6667,167.4833,75.92,75,17,10.25,few clouds
117,Byron Bay,AU,-28.65,153.6167,75.94,60,14,2.42,few clouds
118,Pisco,PE,-13.7,-76.2167,73.45,73,49,27.63,dust
119,Phonhong,LA,18.5007,102.4166,65.97,65,86,0.72,overcast clouds
120,Vestmanna,FO,62.1564,-7.1664,36.52,81,40,13.8,scattered clouds
121,Hambantota,LK,6.1241,81.1185,71.78,81,30,11.25,scattered clouds
122,Hermanus,ZA,-34.4187,19.2345,71.8,87,0,7.65,clear sky
123,Vaini,TO,-21.2,-175.2,84.36,84,75,6.91,broken clouds
124,Mangrol,IN,21.1167,70.1167,65.53,39,92,10.42,overcast clouds
125,Dong Hoi,VN,17.4833,106.6,63.52,92,100,14.14,overcast clouds
126,Fengrun,CN,39.8333,118.1167,18.19,32,0,3.58,clear sky
127,Pasni,PK,25.2631,63.471,65.57,31,3,28.25,clear sky
128,Port Elizabeth,ZA,-33.918,25.5701,72.1,92,0,6.91,clear sky
129,Komsomolskiy,UZ,40.4272,71.7189,27.32,93,100,0.0,fog
130,Bengkulu,ID,-3.8004,102.2655,74.35,90,100,5.41,moderate rain
131,Coihaique,CL,-45.5752,-72.0662,59.61,51,75,8.05,broken clouds
132,Catarman,PH,12.4989,124.6377,76.91,93,100,11.45,overcast clouds
133,Kirillov,RU,59.863,38.3813,17.24,95,25,4.88,scattered clouds
134,Beringovskiy,RU,63.05,179.3167,-14.76,91,34,12.66,scattered clouds
135,Yenagoa,NG,4.9247,6.2642,76.06,79,100,3.13,overcast clouds
136,Assiniboia,CA,49.6334,-105.9845,24.62,68,5,5.75,clear sky
137,Muravlenko,RU,63.7898,74.523,2.39,96,100,16.67,light snow
138,Mahebourg,MU,-20.4081,57.7,76.24,88,75,4.61,broken clouds
139,Ketchikan,US,55.3422,-131.6461,39.18,93,100,5.75,light rain
140,Jalu,LY,29.0331,21.5482,56.03,61,4,8.55,clear sky
141,Taicheng,CN,38.731,113.228,18.46,51,0,2.44,clear sky
142,Kavieng,PG,-2.5744,150.7967,84.06,71,99,6.44,overcast clouds
143,Airai,TL,-8.9266,125.4092,63.01,89,100,7.67,overcast clouds
144,Hofn,IS,64.2539,-15.2082,44.13,83,100,30.2,overcast clouds
145,Port-Gentil,GA,-0.7193,8.7815,78.76,94,20,4.61,thunderstorm
146,Bonavista,CA,48.6499,-53.1147,32.16,94,100,10.51,overcast clouds
147,Batemans Bay,AU,-35.7167,150.1833,70.11,71,12,7.78,few clouds
148,Dryden,CA,49.7833,-92.7503,16.09,92,100,8.05,mist
149,Blagoyevo,RU,63.3667,47.9167,2.12,93,100,9.08,overcast clouds
150,Cherskiy,RU,68.75,161.3,-49.04,99,74,5.3,broken clouds
151,Wanaka,NZ,-44.7,169.15,73.11,53,99,5.01,overcast clouds
152,Hastings,GB,50.8552,0.5729,44.53,80,11,7.81,few clouds
153,Garissa,KE,-0.4536,39.6401,74.93,81,36,7.56,light rain
154,Lensk,RU,60.7253,114.9278,-5.24,79,100,8.7,overcast clouds
155,San Rafael Del Sur,NI,11.8485,-86.4384,79.77,58,37,12.39,scattered clouds
156,Sena Madureira,BR,-9.0656,-68.6569,81.27,65,98,4.16,overcast clouds
157,Faanui,PF,-16.4833,-151.75,81.39,71,81,18.66,broken clouds
158,Mehamn,NO,71.0357,27.8492,28.35,69,75,18.41,broken clouds
159,Torbay,CA,47.6666,-52.7314,32.58,89,100,10.36,overcast clouds
160,Maraa,BR,-1.8333,-65.3667,71.73,99,100,1.59,overcast clouds
161,Shieli,KZ,44.1667,66.75,33.21,98,100,27.25,snow
162,Westport,US,41.1415,-73.3579,51.57,79,20,1.01,few clouds
163,Vestmannaeyjar,IS,63.4427,-20.2734,38.84,82,100,9.17,overcast clouds
164,Alice Springs,AU,-23.7,133.8833,85.55,66,100,5.75,overcast clouds
165,Haines Junction,CA,60.7522,-137.5108,30.15,86,97,2.3,overcast clouds
166,Padang,ID,-0.9492,100.3543,75.56,84,100,4.07,moderate rain
167,Ryotsu,JP,38.0833,138.4333,36.79,77,88,16.44,light rain
168,Touros,BR,-5.1989,-35.4608,79.25,79,94,12.28,overcast clouds
169,Ahuimanu,US,21.4447,-157.8378,79.86,70,40,9.22,scattered clouds
170,Namatanai,PG,-3.6667,152.4333,83.98,71,64,4.76,broken clouds
171,Narsaq,GL,60.9167,-46.05,-9.18,62,21,7.72,few clouds
172,San Quintin,MX,30.4833,-115.95,59.23,61,76,10.76,broken clouds
173,Yerbogachen,RU,61.2767,108.0108,2.86,95,100,10.36,light snow
174,Koubia,GN,11.5833,-11.9,65.75,22,31,0.07,scattered clouds
175,Hualmay,PE,-11.0964,-77.6139,70.93,83,99,9.01,overcast clouds
176,Barreirinha,BR,-2.7933,-57.07,76.17,90,91,1.52,light rain
177,Husavik,IS,66.0449,-17.3389,30.83,88,100,11.01,overcast clouds
178,Longyearbyen,SJ,78.2186,15.6401,31.84,69,40,21.85,scattered clouds
179,Telemaco Borba,BR,-24.3239,-50.6156,66.78,97,98,2.33,overcast clouds
180,Champerico,GT,14.3,-91.9167,90.14,67,9,8.57,clear sky
181,Kaniama,CD,-7.5667,24.1833,64.58,96,96,2.98,overcast clouds
182,Naron,ES,43.5167,-8.1528,48.9,86,8,8.79,clear sky
183,Albion,US,42.2431,-84.753,42.84,94,75,0.0,broken clouds
184,Bintulu,MY,3.1667,113.0333,75.61,94,40,5.01,heavy intensity rain
185,Ust-Kuyga,RU,70.0167,135.6,-42.66,99,96,7.81,overcast clouds
186,Atar,MR,20.5169,-13.0499,70.61,21,0,7.27,clear sky
187,Upernavik,GL,72.7868,-56.1549,-16.55,83,44,5.3,scattered clouds
188,Saint Anthony,US,45.0205,-93.218,26.55,89,100,3.44,mist
189,Ambulu,ID,-8.345,113.6058,76.93,88,100,4.59,light rain
190,Kuleshovka,RU,47.078,39.5579,41.94,93,49,6.13,scattered clouds
191,Imeni Zhelyabova,RU,58.9544,36.5956,17.8,97,91,4.09,overcast clouds
192,Coquimbo,CL,-29.9533,-71.3436,67.73,72,0,13.8,clear sky
193,Reforma,MX,18.1,-91.0167,82.0,68,15,5.46,few clouds
194,Leningradskiy,RU,69.3833,178.4167,-26.39,97,100,11.43,overcast clouds
195,Maragogi,BR,-9.0122,-35.2225,77.85,78,84,8.08,broken clouds
196,North Bend,US,43.4065,-124.2243,50.92,93,100,14.97,mist
197,Megion,RU,61.0296,76.1136,-5.78,95,100,12.91,overcast clouds
198,Raipur,IN,21.2333,81.6333,57.83,58,0,4.41,clear sky
199,Baiyin,CN,36.5583,104.2081,20.86,44,0,1.3,clear sky
200,Pangnirtung,CA,66.1451,-65.7125,-16.6,83,20,6.91,few clouds
201,Przhevalskoye,RU,55.5093,31.8482,34.59,98,100,10.13,snow
202,Laguna,US,38.421,-121.4238,49.01,88,100,8.05,heavy intensity rain
203,Skibbereen,IE,51.55,-9.2667,50.11,94,100,27.63,overcast clouds
204,Norman Wells,CA,65.282,-126.8329,8.64,78,75,14.97,broken clouds
205,San Patricio,US,28.017,-97.5169,84.54,78,58,16.6,broken clouds
206,Kangaatsiaq,GL,68.3065,-53.4641,-7.46,98,99,13.87,overcast clouds
207,Beyneu,KZ,45.3167,55.2,43.25,88,100,21.21,overcast clouds
208,Boende,CD,-0.2167,20.8667,73.49,78,89,2.1,overcast clouds
209,Nefteyugansk,RU,61.0998,72.6035,8.11,92,100,17.2,overcast clouds
210,Yambio,SS,4.5721,28.3955,72.28,55,61,3.91,broken clouds
211,Mount Gambier,AU,-37.8333,140.7667,59.36,75,100,10.25,overcast clouds
212,Nalut,LY,30.3333,10.85,50.18,76,4,10.04,clear sky
213,Severo-Kurilsk,RU,50.6789,156.125,23.22,85,100,30.2,snow
214,Charters Towers,AU,-20.1,146.2667,80.6,57,36,9.84,scattered clouds
215,Grindavik,IS,63.8424,-22.4338,36.07,87,75,10.36,broken clouds
216,San Ignacio,BZ,17.1561,-89.0714,89.74,55,40,6.91,scattered clouds
217,Nouadhibou,MR,20.931,-17.0347,71.58,49,0,18.41,clear sky
218,Soderhamn,SE,61.3037,17.0592,29.95,82,100,8.97,overcast clouds
219,Burnie,AU,-41.0667,145.9167,64.94,57,76,8.39,broken clouds
220,Anadyr,RU,64.75,177.4833,-17.9,69,0,13.42,clear sky
221,Amuntai,ID,-2.4177,115.2494,75.16,90,100,0.92,light rain
222,Wschowa,PL,51.807,16.3166,51.49,62,100,13.04,overcast clouds
223,Dalvik,IS,65.9702,-18.5286,31.93,80,100,11.81,overcast clouds
224,Lagoa,PT,39.05,-27.9833,59.63,83,100,20.65,overcast clouds
225,Tasiilaq,GL,65.6145,-37.6368,5.16,58,59,6.78,broken clouds
